time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.10587821177e-07,7.89047115283e-07,10.0027385191,0.000124888069486,8.7261658253e-05,1.69970580882,-3.38253699532e-05,4.41695158441e-05,0.0912803196708,-0.00525289278869,-0.00465120627965,9.63558415069,435.70223595547907,435.313303553482,432.95805995243285,432.5160013783057
0.12000000000000001,-8.25503597213e-06,5.43015361544e-06,10.0138496992,6.28303732176,0.00109880828452,3.22698795765,-0.000324316601209,8.34627187619e-05,0.279064483699,-0.00900549653911,0.00665142063496,9.29694071356,463.4173758674875,464.30482252337663,464.1620061217618,463.86757257088556
0.18,-6.18512537281e-05,8.28754663368e-06,10.038167899,0.000351622099877,0.00229453627351,4.60830690806,-0.00162483051541,6.152304676e-05,0.531458442913,0.00102986021583,-0.00439925823941,8.981419455,483.43319349072203,482.5998917007842,482.512201139544,483.2691828461577
0.23999999999999996,-0.000223325163692,2.38882238883e-05,10.075351452,0.00109020556033,0.00465333432257,5.86517132754,-0.00404620105774,0.000553807480598,0.707899271176,-0.00926155522083,-0.023380440885,8.68672238065,461.036208299542,459.53437293366125,461.7934999664699,460.98115233539744
0.3,-0.000565185117358,8.02589908202e-05,10.1224707718,0.000893746706975,0.00360203755758,0.732017094225,-0.00722696290798,0.001297450031,0.86264087638,-0.00378709819202,-0.0179756919513,8.41084698593,453.8183849252657,454.25194377928733,454.69198735298676,455.1304024438879
0.36000000000000004,-0.00107627233397,0.000177423157699,10.1768033749,0.00135041984061,0.00508990678255,1.78975756227,-0.00994127671409,0.00197897255398,0.948377699509,0.00415121975656,-0.00158567369609,8.15204015234,432.85245306666945,434.22948459270964,432.3705003397494,433.0387150817396
0.4200000000000001,-0.00177917887921,0.000328744705574,10.2369981192,0.00261531141415,0.00499683298827,2.76729257688,-0.0134814054923,0.00318551762707,1.05801815901,0.014057011502,-0.00408479454231,7.90876042726,440.38066269980567,440.1739704242282,441.05932965579177,441.87647932427166
0.48000000000000015,-0.00269482990016,0.000591023398192,10.3033714241,0.00752325064525,0.00626717685548,3.67473040256,-0.0171561597624,0.00603351939499,1.15433004437,0.0349744027721,0.00825378827983,7.6796469589,436.78310006581637,437.8107830286881,435.569922943593,437.31558607586237
0.5400000000000001,-0.00382589590992,0.0010875154929,10.3709659674,0.0125851542686,0.00675814910455,4.52057770942,-0.0205853450552,0.0109026251877,1.09887301492,0.052670031203,0.00801783707953,7.46349375406,385.7829395477483,385.76055543376305,385.06687425913753,386.7382427435552
0.6000000000000002,-0.00523276196511,0.00204573821178,10.4419421387,0.0167529322272,0.0114567110257,5.31203487446,-0.0268115761521,0.0215165568692,1.26681710611,0.0404085772187,0.0293464328985,7.25922822292,458.5953167933885,460.28608606420005,459.4309775262094,458.4592721291738
0.6600000000000003,-0.00706801301833,0.00366471162409,10.5193514758,0.0191742128968,0.0138979529518,6.05523005816,-0.0345851753685,0.0326781777204,1.31343438353,0.0381824842284,0.0372619266388,7.06589319949,420.4393233249247,421.12493591735745,421.90754790689766,421.71621743524037
0.7200000000000003,-0.00947005994832,0.00607289248607,10.6033150308,0.0214845139469,0.0162511043725,0.472220736342,-0.0457421201416,0.0478541225815,1.48513378954,0.0350425286251,0.0400028939086,6.88263179737,461.6402515209287,461.85710746341005,460.08288216668643,459.8348302596352
0.7800000000000004,-0.012595126893,0.00942156434981,10.6965649679,0.0236428298245,0.0230701206958,1.13388504548,-0.0591339953657,0.0640006138435,1.62299237365,0.030990679825,0.0618612895661,6.70867459203,450.4399373245787,452.20534377178546,450.8569800483109,450.5299645007505
0.8400000000000004,-0.016587332875,0.0137077235976,10.7948691647,0.025524210461,0.0273433891119,1.76093130345,-0.0743394395423,0.0790456593702,1.65375466173,0.0277723390653,0.0523644513674,6.54332872257,417.27206958680785,416.4449213324306,417.5554793244408,417.2749901565694
0.9000000000000005,-0.0216212515311,0.0189990880189,10.8969586672,0.0316186037925,0.0304747520285,2.35673793654,-0.0937731572216,0.0979712163964,1.74905866372,0.00348967004293,0.0507396407199,6.38596858534,437.62303734039455,437.48956073692,440.00854182569304,437.9938230685549
0.9600000000000005,-0.0279552567208,0.0255442967813,11.0052866365,0.0319999201122,0.0479655321947,2.9242488887,-0.119130008065,0.120230999447,1.86162798981,0.00698782067014,0.0911926941864,6.23602785455,442.32124264411016,445.64316105250407,444.12093022908067,444.4076514866821
1.0200000000000005,-0.0361871241606,0.0334646572395,11.1213317898,0.032425642205,0.0544333444233,3.46603998455,-0.155968290155,0.143820973441,2.00625894247,0.00429981131931,0.0789925417068,6.09299261374,455.3889568913843,454.4181882928759,454.38521903804116,454.169589897849
1.0800000000000005,-0.0466558365413,0.0427489951553,11.2440802264,0.0340520642699,0.0594011973179,3.98437376899,-0.193477611242,0.165798178842,2.08517629038,0.0159704113777,0.0724220406698,5.95639542183,434.37189015917096,433.8253921396919,434.5986957796521,435.57563750488407
1.1400000000000006,-0.0593772975113,0.0533221667479,11.3698048197,0.0350524485818,0.0666909438578,4.48124504404,-0.231245094859,0.186725415285,2.10555429255,0.0173197309319,0.052386255934,5.82581016844,416.77628614329666,415.0250785456391,415.6317918809749,415.74995963408725
1.2000000000000006,-0.0744429442445,0.0651459774767,11.4959947422,0.0372966449037,0.0733663777069,4.95841885621,-0.271502660637,0.207585417966,2.10073203714,0.0282044221465,0.0718089949406,5.70084759852,406.14539182920754,407.886413796015,407.40394348949513,408.3760145198367
